,questions,answere
0,Er det dødsbo?,Nei
1,Er det salg ved fullmakt?,Ja
2,Har du kjennskap til eiendommen?,Ja
3,Har du bodd i boligen siste 12 måneder?,Ja
4,"Kjenner du til om det er/har vært feil tilknyttet våtrommene, f.eks. sprekker, lekkasje, råte, lukt eller soppskader?",Nei
5,Ble tettesjikt/membran/sluk oppgradert/fornyet?,Nei
6,Er arbeidet byggemeldt?,Nei
7,Kjenner du til om det er/har vært tilbakeslag av avløpsvann i sluk eller lignende?,Nei
8,Kjenner du til feil eller om har vært utført arbeid/kontroll på vann/avløp?,Nei
9,Kjenner du til om det er/har vært utettheter i terrasse/garasje/tak/fasade?,Nei
10,"Kjenner du til om det er/har vært problemer med ildsted/skorstein/pipe f.eks. dårlig trekk, sprekker, pålegg, fyringsforbud eller lignende?",Nei
11,"Kjenner du til om det er/har vært f.eks. sprekker i mur, skjeve gulv eller lignende?",Ja
12,"Kjenner du til om det er/har vært sopp/råteskader/insekter/skadedyr på eiendommen som rotter, mus, maur eller lignende?",Nei
13,Kjenner du til om det er/har vært skjeggkre i boligen?,Nei
14,Foreligger det samsvarserklæring (i henhold til forskrift om elektriske lavspenningsanlegg)?,Ja
15,"Kjenner du til om det er utført kontroll av el-anlegget og/eller andre installasjoner (f.eks. oljetank, sentralfyr, ventilasjon)?",Ja
16,Har du ladeanlegg/ladeboks for elbil i dag?,Nei
17,"Kjenner du til om ufaglærte har utført arbeid som normalt bør utføres av faglærte, utover det som er nevnt tidligere (f.eks. drenering,murerarbeid, tømrerarbeid etc)?",Nei
18,Er det nedgravd oljetank på eiendommen?,Nei
19,"Selges eiendommen med utleiedel, leilighet, hybel eller tilsvarende?",Nei
20,Kjenner du til om det er innredet/bruksendret/bygget ut i kjeller eller loft eller andre deler av boligen?,Nei
21,"Kjenner du til forslag eller vedtatte reguleringsplaner, andre planer, nabovarsel eller offentlige vedtak som kan medføre endringer i bruken av eiendommen eller av dens omgivelser?",Ja
22,Kjenner du til om det foreligger påbud/heftelser/krav/manglende tillatelser vedrørende eiendommen?,Nei
23,Er det foretatt radonmåling?,Nei
24,Kjenner du til manglende brukstillatelse eller ferdigattest?,Nei
25,Kjenner du til om det foreligger skaderapporter/ tilstandsvurderinger eller utførte målinger?,Nei
26,"Er det andre forhold av betydning ved eiendommen som kan være relevant for kjøper å vite om (f.eks. rasfare, tinglyste forhold eller private avtaler)?",Nei
27,Kjenner du til om sameiet/laget/selskapet er involvert i tvister av noe slag?,Ja
28,Kjenner du til vedtak/forslag til vedtak om forhold vedr. eiendommen som kan medføre økte felleskostnader/økt fellesgjeld?,Nei
29,"Kjenner du til om det er/har vært sopp/råteskader/insekter/skadedyr i sameiet/laget/selskapet (fellesareal eller i andre boliger) som rotter, mus, maur eller lignende?",Nei
30,Kjenner du til om det er/har vært skjeggkre i sameiet/laget/selskapet (fellesareal eller i andre boliger)?,Nei
