question,answere,pdfname
Er det dødsbo?,Nei,sample1.pdf
Er det salg ved fullmakt?,Nei,sample1.pdf
Har du kjennskap til eiendommen?,Nei,sample1.pdf
Har du bodd i boligen siste 12 måneder?,Nei,sample1.pdf
"Kjenner du til om det er/har vært feil tilknyttet våtrommene, f.eks. sprekker, lekkasje, råte, lukt eller soppskader?",Nei,sample1.pdf
Svar,"Ja, kun av ufaglært/egeninnsats/dugnad",sample1.pdf
Ble tettesjikt/membran/sluk oppgradert/fornyet?,Nei,sample1.pdf
Er arbeidet byggemeldt?,Nei,sample1.pdf
Kjenner du til om det er/har vært tilbakeslag av avløpsvann i sluk eller lignende?,Nei,sample1.pdf
Svar,Nei,sample1.pdf
"Kjenner du til om det er/har vært problemer med drenering, fuktinnsig, øvrig fukt eller fuktmerker i underetasje/kjeller?",Nei,sample1.pdf
Kjenner du til om det er/har vært utettheter i terrasse/garasje/tak/fasade?,Nei,sample1.pdf
"Kjenner du til om det er/har vært problemer med ildsted/skorstein/pipe f.eks. dårlig trekk, sprekker, pålegg, fyringsforbud eller lignende?",Nei,sample1.pdf
"Kjenner du til om det er/har vært f.eks. sprekker i mur, skjeve gulv eller lignende?",Nei,sample1.pdf
"Kjenner du til om det er/har vært sopp/råteskader/insekter/skadedyr på eiendommen som rotter, mus, maur eller lignende?",Nei,sample1.pdf
Kjenner du til om det er/har vært skjeggkre i boligen?,Nei,sample1.pdf
Svar,"Ja, kun av faglært",sample1.pdf
11.1 Foreligger det samsvarserklæring (i henhold til forskrift om elektriske lavspenningsanlegg)?,Nei,sample1.pdf
"Kjenner du til om det er utført kontroll av el-anlegget og/eller andre installasjoner (f.eks. oljetank, sentralfyr, ventilasjon)?",Nei,sample1.pdf
Har du ladeanlegg/ladeboks for elbil i dag?,Nei,sample1.pdf
"murerarbeid, tømrerarbeid etc)?",Nei,sample1.pdf
Er det nedgravd oljetank på eiendommen?,Nei,sample1.pdf
Svar,Nei,sample1.pdf
"Selges eiendommen med utleiedel, leilighet, hybel eller tilsvarende?",Nei,sample1.pdf
Kjenner du til om det er innredet/bruksendret/bygget ut i kjeller eller loft eller andre deler av boligen?,Nei,sample1.pdf
eiendommen eller av dens omgivelser?,Nei,sample1.pdf
Kjenner du til om det foreligger påbud/heftelser/krav/manglende tillatelser vedrørende eiendommen?,Nei,sample1.pdf
Er det foretatt radonmåling?,Nei,sample1.pdf
Kjenner du til manglende brukstillatelse eller ferdigattest?,Nei,sample1.pdf
Kjenner du til om det foreligger skaderapporter/ tilstandsvurderinger eller utførte målinger?,Nei,sample1.pdf
avtaler)?,Nei,sample1.pdf
Kjenner du til om sameiet/laget/selskapet er involvert i tvister av noe slag?,Nei,sample1.pdf
Kjenner du til vedtak/forslag til vedtak om forhold vedr. eiendommen som kan medføre økte felleskostnader/økt fellesgjeld?,Nei,sample1.pdf
maur eller lignende?,Nei,sample1.pdf
Kjenner du til om det er/har vært skjeggkre i sameiet/laget/selskapet (fellesareal eller i andre boliger)?,Nei,sample1.pdf
Detaljert vegger:,Nei,sample1.pdf
Detaljert vindu:,Nei,sample1.pdf
 ,"De nye begrepene for arealmål skal benyƩes i markedsføring av bolig fra og med 1. januar 2024, men ",sample1.pdf
Overgangsordningen medfører at man en stund fremover vil møte på både gamle og nye ,arealbegreper. I de Ɵlfeller hvor oppdraget med megler er inngåƩ før 1. januar og det ikke er ,sample1.pdf
"utarbeidet Ɵlstandsrapport med nye arealbegreper, kan arealopplysninger i henhold Ɵl gammel ",standard fortsaƩ benyƩes så lenge oppdraget løper. Ved fornyelse av oppdraget eƩer 1. januar 2024 ,sample1.pdf
må nye arealbegreper benyƩes. Wrosjekterte boliger har egne regler og skal markedsføres med nye ,arealbegreper dersom de legges ut for salg etter 1. januar 2024. ,sample1.pdf
42,Kort om de nye reglene fra 1. januar 2022,sample1.pdf
Kort om de nye reglene fra 1. januar 2022,Fra 1. januar 2022 endres reglene i avhendings-,sample1.pdf
opplysninger om boligen. ,Fra 1. januar 2022 gjelder også en helt ny forskrift ,sample1.pdf
Forbrukerinformasjon: ,Trygg bolighandel med nye regler fra 1. januar 2022 ,sample1.pdf
Her er kortversjonen av det du må vite! Reglene gjelder for boliger som selges (bud som aksepteres)  ,fra 1. januar 2022. ,sample1.pdf
hvordan det var vanlig å bygge og ,de reglene som gjaldt da boligen ,sample1.pdf
måte. Det gir deg som selger lavere risiko for å motta klage og krav fra kjøper. ,"NB: Dersom du tror boligen din først vil bli solgt etter 1. januar 2022, anbefaler vi at ",sample1.pdf
"Eiendomsmeglingsgruppe, og er gjeldende fra ",1. januar 2020.,sample1.pdf
 ,"jacuzzi og liknende utendørs kar, lekestue,",sample1.pdf
47,"Sist oppdatert med virkning fra 1. januar 2014, i for-",sample1.pdf
